timestamp,flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_out,bytes_in,packets_out,packets_in,dns,tls,quic,sensor,sensor_version,suricata_events,total_bytes,total_packets,byte_ratio,packet_ratio,bytes_per_second,packets_per_second
2017-07-07T12:02:04.217182+00:00,CFk88g2Ohl22GxtIv7,192.168.10.14,23.50.75.27,49441,80,tcp,0.000104,0,0,2,2,,,,zeek,zeek-native,[],0,4,1.0,1.0,0.0,38461.5385
2017-07-07T12:02:44.141577+00:00,Cgmi3U3g6EDaWLWX2b,192.168.10.25,224.0.0.251,5353,5353,udp,2.758425,4044,0,24,0,"{'query': '_airport._tcp.local', 'qtype_name': 'PTR', 'rcode_name': 'NOERROR'}",,,zeek,zeek-native,"['mdns', 'flow']",4044,24,4045.0,25.0,1466.054,8.7006
2017-07-07T12:02:37.159004+00:00,CMqGae3cyFCF0dPycg,fe80::baac:6fff:fe36:ba8,ff02::fb,5353,5353,udp,3.8e-05,468,0,12,0,"{'query': '_sane-port._tcp.local', 'qtype_name': 'PTR', 'rcode_name': None}",,,zeek,zeek-native,[],468,12,469.0,13.0,12315789.4737,315789.4737
2017-07-07T12:02:37.159036+00:00,C2a3ijTiX3jVQheB9,192.168.10.51,224.0.0.251,5353,5353,udp,1.6e-05,468,0,12,0,"{'query': '_sane-port._tcp.local', 'qtype_name': 'PTR', 'rcode_name': None}",,,zeek,zeek-native,"['mdns', 'flow']",468,12,469.0,13.0,29250000.0,750000.0
2017-07-07T12:02:08.234232+00:00,CoVnUJ20dS7sUY5q43,192.168.10.9,192.168.10.3,137,137,udp,0.000138,136,124,2,2,,,,zeek,zeek-native,['flow'],260,4,1.096,1.0,1884057.971,28985.5072
2017-07-07T12:02:08.978206+00:00,CmuceH20vHshDsbBc6,192.168.10.51,192.168.10.3,10062,53,udp,0.000232,100,200,2,2,"{'query': '_ldap._tcp.dc._msdcs.testbed1.ca', 'qtype_name': 'SRV', 'rcode_name': 'NOERROR'}",,,zeek,zeek-native,"['dns', 'flow']",300,4,0.5025,1.0,1293103.4483,17241.3793
2017-07-07T12:02:08.991547+00:00,CWOHw025XiywsVIp99,192.168.10.51,192.168.10.3,14261,53,udp,0.000237,162,262,2,2,"{'query': '_ldap._tcp.default-first-site-name._sites.dc._msdcs.testbed1.ca', 'qtype_name': 'SRV', 'rcode_name': 'NOERROR'}",,,zeek,zeek-native,"['dns', 'flow']",424,4,0.6198,1.0,1789029.5359,16877.6371
2017-07-07T12:02:15.163272+00:00,C7QG8Q1dHJvmYTUgwi,192.168.10.5,64.4.27.50,49184,443,tcp,0.589666,1945,4829,10,7,,"{'version': 'TLSv12', 'cipher': 'TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384', 'server_name': 'fe2.ws.microsoft.com'}",,zeek,zeek-native,"['tls', 'flow']",6774,17,0.4029,1.375,11487.8592,28.8299
2017-07-07T12:02:15.699836+00:00,CPfK7Q3sbT6o3EIbQe,192.168.10.5,64.4.27.50,49186,443,tcp,0.588015,1689,4749,10,8,,"{'version': 'TLSv12', 'cipher': 'TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384', 'server_name': 'fe2.ws.microsoft.com'}",,zeek,zeek-native,"['tls', 'flow']",6438,18,0.3558,1.2222,10948.7003,30.6115
2017-07-07T12:02:14.526589+00:00,C0OWc724W8xLhr0nS9,192.168.10.5,192.168.10.3,54897,53,udp,0.024079,82,386,2,2,"{'query': 'ctldl.windowsupdate.com', 'qtype_name': 'A', 'rcode_name': 'NOERROR'}",,,zeek,zeek-native,"['dns', 'flow']",468,4,0.2145,1.0,19436.0231,166.1199
